division,order_number,customer_name,proj_num,order_create_date,eck_date,BD_Act_Compl_Date,budget_hours,acutal_hours,Complexity,eck_lead_wks,eck_range_high,eck_range_low,include,days_to_book,eck_month,book_month,fiscal_year,above_limit
BUTLER,1803078701,GRASSMERE CONSTRUCTION LTD.,18030787,2018-05-10,2018-08-30,2018-08-31,125,150.5,Moderate (100-200),16,15.12,0.99,No,1,2018-08-01,2018-08-01,2019,0.880000000000001
BUTLER,1900397201,ELECNOR MEXICO S.A. DE C.V.,19003972,2019-02-21,2019-06-06,2019-06-06,83,58.75,NA,15,14.07,0.67,No,0,2019-06-01,2019-06-01,2019,0.93
BUTLER,1901566201,"MORRIS CONSTRUCTION ENTERPRISES, INC.",19015662,2019-07-19,2019-11-21,2019-11-21,197,259.56,Moderate (100-200),17.86,16.93,1.53,No,0,2019-11-01,2019-11-01,2020,0.93
VP,1804286501,PIONEER INCORPORATED,18042865,2018-10-19,2019-03-20,2019-03-25,351.3,821.06,Complex (200-400),21.71,20.78,2.68,No,5,2019-03-01,2019-03-01,2019,0.93
VP,1900504001,DYKSTRA CONSTRUCTION INC,19005040,2019-03-05,2019-06-28,2019-07-08,139.94,248.25,Moderate (100-200),16.43,15.5,1.1,No,10,2019-06-01,2019-07-01,2019,0.93
VP,1901456901,"ROSKILDE BUILDERS, LLC",19014569,2019-07-09,2019-11-07,2019-11-08,174.07,134.17,Moderate (100-200),17.29,16.35,1.36,No,1,2019-11-01,2019-11-01,2020,0.939999999999998
VP,1700763701,"HANSEN-RICE, INC.",17007637,2017-03-31,2017-07-10,2017-10-03,59.5,64.3,Simple (<=100),14.43,13.49,0.5,No,85,2017-07-01,2017-10-01,2018,0.94
VP,1902053901,"JERRY TIDWELL CONSTRUCTION, INC.",19020539,2019-09-25,2020-02-14,NA,293.58,57,Complex (200-400),20.29,19.34,2.25,No,NA,2020-02-01,NA,2020,0.949999999999999
BUTLER,1701991501,"KIMBALL CONSTRUCTION COMPANY, INC.",17019915,2017-08-22,2017-12-05,2017-12-05,82,109.25,Simple (<=100),15,14.05,0.66,No,0,2017-12-01,2017-12-01,2018,0.949999999999999
VP,1802971701,"SIMON & COMPANY, INC.",18029717,2018-04-27,2018-08-20,2018-08-21,138.81,145.25,Moderate (100-200),16.43,15.47,1.09,No,1,2018-08-01,2018-08-01,2019,0.959999999999999
VP,1901806201,LINCOLN BUILDERS OF BATON ROUGE INC,19018062,2019-09-05,2020-01-24,NA,286.97,144.5,Complex (200-400),20.14,19.17,2.2,No,NA,2020-01-01,NA,2020,0.969999999999999
BUTLER,1901440801,MELEWKA HOMES LTD,19014408,2019-07-01,2019-10-16,2019-10-16,93,132.25,Simple (<=100),15.29,14.32,0.75,No,0,2019-10-01,2019-10-01,2020,0.969999999999999
VP,1803419301,"RICH KRAMER CONSTRUCTION, INC.",18034193,2018-06-25,2018-10-22,2018-10-22,161.29,114.77,Moderate (100-200),17,16.03,1.26,No,0,2018-10-01,2018-10-01,2019,0.969999999999999
VP,1803041201,"DICK ANDERSON CONSTRUCTION, INC",18030412,2018-06-14,2018-09-20,2018-09-26,41.09,98.95,Simple (<=100),14,13.03,0.36,No,6,2018-09-01,2018-09-01,2019,0.970000000000001
VP,1901156001,TMC-TAYLOR CONSTRUCTION,19011560,2019-06-18,2019-11-13,2019-11-15,326.16,424,Complex (200-400),21.14,20.15,2.5,No,2,2019-11-01,2019-11-01,2020,0.990000000000002
BUTLER,1700783601,OREILLY AUTOMOTIVE,17007836,2017-03-21,2017-07-11,2017-08-23,120,97.5,Moderate (100-200),16,15,0.95,No,43,2017-07-01,2017-08-01,2018,1
BUTLER,1702674401,OREILLY AUTOMOTIVE,17026744,2017-11-07,2018-02-27,2018-09-10,120,89.5,Moderate (100-200),16,15,0.95,No,195,2018-02-01,2018-09-01,2018,1
VP,1901216001,"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.",19012160,2019-05-30,2019-09-17,NA,107.9,113.27,Moderate (100-200),15.71,14.7,0.86,No,NA,2019-09-01,NA,2020,1.01
VP,1802799101,"KNCOS, INC.",18027991,2018-04-30,2018-09-19,2018-09-20,291,150.25,Complex (200-400),20.29,19.27,2.23,No,1,2018-09-01,2018-09-01,2019,1.02
BUTLER,1700141101,THE SHERIDAN CORPORATION,17001411,2017-01-06,2017-06-17,2017-06-20,405,391.5,High Complex (400-800),23.14,22.12,3.09,No,3,2017-06-01,2017-06-01,2017,1.02
BUTLER,1802555001,B.B.C.S. INC.,18025550,2018-03-19,2018-07-03,2018-07-05,85,101.25,Simple (<=100),15.14,14.12,0.69,No,2,2018-07-01,2018-07-01,2019,1.02
BUTLER,1804204901,"COLEMAN-ADAMS CONSTRUCTION, INC.",18042049,2018-10-08,2019-01-24,2019-01-24,96,119.5,Simple (<=100),15.43,14.4,0.77,No,0,2019-01-01,2019-01-01,2019,1.03
BUTLER,1803109601,THE PANGERE CORPORATION,18031096,2018-05-15,2018-10-11,2018-10-12,329,344.21,Complex (200-400),21.29,20.23,2.52,No,1,2018-10-01,2018-10-01,2019,1.06
VP,1901185401,"PATCO CONSTRUCTION, INC.",19011854,2019-05-28,2019-09-03,2019-08-29,37.54,106.5,Simple (<=100),14,12.94,0.33,No,-5,2019-09-01,2019-08-01,2020,1.06
